year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline
1946,No Regrets for Our Youth,3.58,6.9,Drama,111,0,0,ja,TOHO,tt0039090,43487,わが青春に悔なし,1.1519,84,1946-10-29,"After her anti-fascist professor father is dismissed, Yukie navigates love, political repression, and wartime upheaval—ultimately forging her own path in pre- and post-WWII Japan.",Japan,Released,
1946,Lord for a Night,None,8.0,Drama,112,0,0,ja,TOHO,tt0038308,438367,或る夜の殿様,0.5069,1,1946-07-11,"In 1887, two businessmen, Echigo-ya and Kitahara, compete for railroad construction authorization from the government. The minister states that a local noble must not object, and his missing younger brother is the only one who could sway him. Meanwhile, Omitsu, a hotel employee tired of Echigo-ya’s wife’s arrogance, teams up with Kitahara to stage a scheme where a vagrant young man pretends to be the noble’s lost brother, aiming to trick and embarrass the wealthy woman.",Japan,Released,
1946,Iki na fûraibô,None,0.0,,86,0,0,ja,Shochiku Kyoto,tt1201631,1139685,粋な風来坊,0.4289,0,1946-02-28,A lost film by Masahiro Makino,Japan,Released,
1946,Those Who Make Tomorrow,3.22,0.0,Drama,82,0,0,ja,TOHO,tt0038310,106451,明日を創る人々,0.3826,0,1946-05-02,"In postwar Japan, two sisters—a film studio script girl and a revue dancer—become swept up in the growing labor movement when workers around them strike for better conditions. As their conservative father opposes their activism, his own dismissal forces him to confront the realities of class struggle and join their fight for a fairer future. Now considered a lost film, Those Who Make Tomorrow was produced by Toho to promote unionization during Japan’s Allied Occupation.",Japan,Released,
1946,The Brick Factory Girl,None,0.0,Drama,63,0,0,ja,Nan'ô Eiga,tt0423058,552630,煉瓦女工,0.3334,0,1946-02-14,"This film focuses on Koreans living in Japan. The filmmaker’s humanism comes across in the portrayal of a girl living in a shabby tenement, the warmth of a Korean girl she meets, and the friendliness of this Korean girl’s family.",Japan,Released,
1946,Utamaro and His Five Women,3.71,7.1,Drama,94,0,0,ja,Shochiku,tt0039074,101382,歌麿をめぐる五人の女,0.3167,33,1946-12-17,"Utamaro, a great artist, lives to create portraits of beautiful women, and the brothels of Tokyo provide his models. A world of passion swirls around him, as the women in his life vie for lovers. And, occasionally, his art gets him into trouble.",Japan,Released,
1946,Morning for the Osone Family,3.53,6.7,Drama,81,0,0,ja,Shochiku,tt0038810,130241,大曽根家の朝,0.2778,9,1946-02-21,A Japanese family weathers much hardship after their military uncle comes to live with them during WWII.,Japan,Released,
1946,A Descendant of Urashima Taro,None,6.0,Drama,82,0,0,ja,TOHO,tt0038465,348769,浦島太郎の後裔,0.2642,1,1946-03-28,"Reputedly based on Frank Capra’s 1939 film Mr. Smith Goes to Washington, A Descendant of Tarô Urashima is about a repatriated soldier who becomes populist politician in the Japanese Happiness Party.",Japan,Released,
1946,The Girl I Loved,3.55,5.6,"Drama, Romance",74,0,0,ja,Shochiku,tt0039091,218224,わが恋せし乙女,0.2541,5,1946-10-29,A young man who is unable to tell his childhood friend how he feels makes a pledge with her to reveal all of their secrets during the upcoming festival.,Japan,Released,
1946,Victory of Women,3.43,6.5,"Drama, History",84,0,0,ja,Shochiku,tt0038662,277781,女性の勝利,0.2505,3,1946-04-18,"Representing a destitute mother in an infanticide trial, a female lawyer attempts to convince a conservative prosecutor of the benefits of Japan's democratized post-war legal system.",Japan,Released,
