year,title,lb_rating,tmdb_rating,genres,runtime_min,budget,revenue,original_language,production_companies,imdb_id,tmdb_id,original_title,tmdb_popularity,vote_count,release_date,overview,production_countries,status,tagline,profit
1946,No Regrets for Our Youth,3.58,6.9,Drama,111,,,ja,TOHO,tt0039090,43487,わが青春に悔なし,1.1519,84,1946-10-29,"After her anti-fascist professor father is dismissed, Yukie navigates love, political repression, and wartime upheaval—ultimately forging her own path in pre- and post-WWII Japan.",Japan,Released,,
1946,Those Who Make Tomorrow,3.22,0.0,Drama,82,,,ja,TOHO,tt0038310,106451,明日を創る人々,0.3826,0,1946-05-02,"In postwar Japan, two sisters—a film studio script girl and a revue dancer—become swept up in the growing labor movement when workers around them strike for better conditions. As their conservative father opposes their activism, his own dismissal forces him to confront the realities of class struggle and join their fight for a fairer future. Now considered a lost film, Those Who Make Tomorrow was produced by Toho to promote unionization during Japan’s Allied Occupation.",Japan,Released,,
1946,Utamaro and His Five Women,3.71,7.1,Drama,94,,,ja,Shochiku,tt0039074,101382,歌麿をめぐる五人の女,0.3167,33,1946-12-17,"Utamaro, a great artist, lives to create portraits of beautiful women, and the brothels of Tokyo provide his models. A world of passion swirls around him, as the women in his life vie for lovers. And, occasionally, his art gets him into trouble.",Japan,Released,,
1946,Morning for the Osone Family,3.53,6.7,Drama,81,,,ja,Shochiku,tt0038810,130241,大曽根家の朝,0.2778,9,1946-02-21,A Japanese family weathers much hardship after their military uncle comes to live with them during WWII.,Japan,Released,,
1946,The Girl I Loved,3.55,5.6,"Drama, Romance",74,,,ja,Shochiku,tt0039091,218224,わが恋せし乙女,0.2541,5,1946-10-29,A young man who is unable to tell his childhood friend how he feels makes a pledge with her to reveal all of their secrets during the upcoming festival.,Japan,Released,,
1946,Victory of Women,3.43,6.5,"Drama, History",84,,,ja,Shochiku,tt0038662,277781,女性の勝利,0.2505,3,1946-04-18,"Representing a destitute mother in an infanticide trial, a female lawyer attempts to convince a conservative prosecutor of the benefits of Japan's democratized post-war legal system.",Japan,Released,,
1947,The Love of the Actress Sumako,3.5,6.8,Drama,96,,,ja,Shochiku,tt0039516,46046,女優須磨子の恋,0.7847,5,1947-08-16,"The stage director Shimamura, who is bringing western theatre to Japan, falls in love with the outspoken actress Sumako Matsui, and leaves his family to be with her, while trying to keep his Art Theatre solvent.",Japan,Released,,
1947,One Wonderful Sunday,3.78,7.2,"Drama, Romance",108,,,ja,TOHO,tt0039871,45967,素晴らしき日曜日,0.719,89,1947-07-01,"Two broke sweethearts wander war-scarred Tokyo on a single Sunday, stretching 35 yen as they chase housing, small pleasures, and a little hope.",Japan,Released,,
1947,Snow Trail,3.65,7.0,"Drama, Crime",89,,,ja,TOHO,tt0039423,127112,銀嶺の果て,0.6471,22,1947-08-05,"Three bank robbers, Eijima, Nojiri, and Takasugi, flee the police and escape into the mountains. At an inn high in the Japanese Alps, Eijima and Nojiri encounter a young woman and her father, as well as Honda, a mountaineer. The inn folk do not realize their guests are wanted criminals and the visitors are treated with great kindness. Honda volunteers to lead them over the mountains, but Eijima's paranoia endangers all of them as they make the perilous trip.",Japan,Released,,
1947,Record of a Tenement Gentleman,3.87,7.193,"Drama, Comedy",72,,,ja,Shochiku,tt0039651,74126,長屋紳士録,0.5054,57,1947-05-20,"An errant salaryman's son gets lost until a man from the Tokyo tenements brings him to vendor Tane, who's reluctant to let the kid board.",Japan,Released,,
1947,The Spring River Flows East,3.56,6.4,Drama,192,,,zh,Kunlun Film Company,tt0040009,140260,一江春水向东流,0.4725,10,1947-10-09,"1930's China. The village of a poor family is taken over by the occupying Japanese army. One son, Zhongliang, leaves his wife and young son to join a medic group for the Chinese Army. The other son, Zhangmin goes into hiding to protect his family. The focus shifts back and forth from the brothers' parents and Zhongliang's wife and son to Zhongliang's newfound life of luxury in a town not too far away. The plight of Zhongliang's mother, his wife, Sufan and her son, Kongeson is contrasted with Zhongliang's rise in a flourishing company.",China,Released,,
1947,Once More,3.17,6.2,"Romance, Drama",118,,,ja,TOHO,tt0037815,299253,今ひとたびの,0.4351,4,1947-04-01,A romance with political overtones about the relationship of a sheltered bourgeois woman and a doctor who devotes himself to caring for the poor. Over a ten-year period - from 1936 through the war - they find each other and are separated again by the events of those tumultuous days.,Japan,Released,,
1948,Drunken Angel,3.9,7.606,Drama,98,,,ja,TOHO,tt0040979,25858,酔いどれ天使,1.4873,301,1948-04-27,"In postwar Tokyo, a blunt, alcohol-soaked doctor diagnoses a swaggering young yakuza with tuberculosis, forging an uneasy bond that’s tested when the gangster’s ruthless former boss returns and drags him back toward the swampy underworld he can’t escape.",Japan,Released,,
1948,Children of the Beehive,4.08,6.615,Drama,86,,,ja,Hachi no Su Eiga-bu,tt0431796,97714,蜂の巣の子供たち,0.6465,13,1948-08-24,"A group of war orphans initially seen scratching out an existence through black market work, as they are taken under the wing of a nameless soldier, just repatriated after the war.",Japan,Released,,
1948,A Hen in the Wind,3.77,7.1,Drama,84,,,ja,Shochiku,tt0040505,126219,風の中の牝鶏,0.4684,56,1948-09-17,"Tokiko is a mother patiently waiting for her husband's return from the war when her 4-year old son becomes ill. She takes him to the doctor for treatment but has no way of paying. She resorts to prostitution. One month later her husband returns from WWII to find his desperate wife, who tells him the truth. Together they must deal with the consequences.",Japan,Released,,
1949,Late Spring,4.34,8.007,Drama,108,,,ja,Shochiku,tt0041154,20530,晩春,1.8719,460,1949-09-13,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",Japan,Released,,
1949,Stray Dog,4.02,7.548,"Crime, Drama, Thriller",122,,47005.0,ja,"Film Art Association, Shintoho Company",tt0041699,30368,野良犬,1.649,342,1949-10-17,"A bad day gets worse for young detective Murakami when a pickpocket steals his gun on a hot, crowded bus. Desperate to right the wrong, he goes undercover, scavenging Tokyo’s sweltering streets for the stray dog whose desperation has led him to a life of crime. With each step, cop and criminal’s lives become more intertwined and the investigation becomes an examination of Murakami’s own dark side.",Japan,Released,The Suspense Filled Story of 7 Bullets!,
1949,The Quiet Duel,3.61,7.3,Drama,95,,,ja,Daiei Film,tt0041870,37513,静かなる決闘,0.5995,87,1949-03-19,"A young army surgeon, Kyoji Fujisaki, accidentally contracts syphilis during a WWII field operation. Back at his father’s clinic, he treats himself in secret and breaks off his engagement rather than risk his fiancée’s future, even as he confronts the irresponsible patient who infected him—testing his ethics, pride, and capacity for sacrifice.",Japan,Released,,
1949,The Invisible Man Appears,3.1,6.3,"Horror, Science Fiction, Crime",82,,,ja,Daiei Film,tt0040477,384699,透明人間現わる,0.4135,16,1949-09-26,"A scientist successfully creates an invisibility serum, only to be kidnapped by a gang of thugs who wish to use the formula to rob a priceless jewel.",Japan,Released,"There is no good or evil in science, but it can be used for good or evil purposes!",
1949,Goodbye,3.12,0.0,Drama,0,,,ja,Shintoho Company,tt0262445,1630175,グッドバイ,0.3761,0,1949-06-28,,Japan,Released,,
1950,Rashomon,4.21,8.044,"Crime, Drama, Mystery",88,250000.0,117668.0,ja,Daiei Film,tt0042876,548,羅生門,3.2484,2454,1950-08-26,Four people recount different versions of the story of a man's murder and the rape of his wife.,Japan,Released,"The husband, the wife… or the bandit?",-132332.0
1950,The Munekata Sisters,3.78,7.132,Drama,112,,,ja,Shintoho Company,tt0042762,55198,宗方姉妹,0.7355,34,1950-08-08,"Setsuko is unhappily married to Mimura, an engineer with no job and a bad drinking habit. She had always been in love with Hiroshi but both of them failed to propose when Hiroshi left for France a few years ago. Now he is back and Mariko tries to reunite them. She too is secretly in love with Hiroshi.",Japan,Released,,
1950,Scandal,3.52,6.9,Drama,104,,,ja,Shochiku,tt0042958,32690,醜聞,0.6507,93,1950-04-26,A celebrity photograph sparks a court case as a tabloid magazine spins a scandalous yarn over a painter and a famous singer.,Japan,Released,,
1950,Till We Meet Again,3.57,6.3,"Romance, War, Drama",111,,,ja,TOHO,tt0043093,125235,また逢う日まで,0.6083,9,1950-03-21,Saburo and Keiko fall in love with each other but the tide of war separates them.,Japan,Released,,
1951,Early Summer,4.21,7.844,Drama,125,,,ja,"Shochiku, Shochiku Ofuna Film Studio",tt0043313,50247,麦秋,0.9291,202,1951-10-03,A 28-year-old single woman is pressured to marry.,Japan,Released,,
1951,The Idiot,3.59,7.0,"Drama, Romance",166,,,ja,Shochiku,tt0043614,24774,白痴,0.6652,123,1951-05-23,"A gentle, war-shattered ex-soldier, Kinji Kameda, arrives in wintry Hokkaidō and is pulled into a volatile tangle of love and pity between the disgraced Taeko Nasu, the proud Ayako, and his possessive friend Akama. Kameda’s saintly compassion exposes everyone’s wounds, steering the quartet toward jealousy, violence, and inexorable tragedy. Adapted from Dostoevsky’s novel.",Japan,Released,,
1951,Repast,3.88,7.6,Drama,97,,,ja,TOHO,tt0043801,47184,めし,0.5651,45,1951-11-23,Michiyo lives in the small place Osaka and is not happy with her marriage; all she does is cook and clean for her husband.,Japan,Released,,
1951,Carmen Comes Home,3.38,6.14,"Comedy, Music",86,,,ja,Shochiku,tt0043699,125264,カルメン故郷に帰る,0.5199,25,1951-03-21,"A rural village elder plans an event on the return of a farmer's daughter from the city, unaware that she has become a Westernized burlesque artist.",Japan,Released,,
1951,Ginza Cosmetics,3.61,6.1,Drama,87,,,ja,Ito Productions,tt0043587,118575,銀座化粧,0.3967,11,1951-04-14,A luckless geisha struggles to make a living for herself and her young son.,Japan,Released,,
1952,Ikiru,4.51,8.314,Drama,143,,55240.0,ja,TOHO,tt0044741,3782,生きる,4.0405,1294,1952-10-09,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",Japan,Released,A big story of a little man which will grip your soul...,
1952,The Men Who Tread on the Tiger's Tail,3.33,6.7,"Drama, History, Thriller, Adventure",59,,,ja,TOHO,tt0038182,36916,虎の尾を踏む男達,1.1025,95,1952-04-24,A fugitive lord and his six retainers disguise themselves as monks to bluff their way through a hostile checkpoint.,Japan,Released,,
1952,The Flavor of Green Tea Over Rice,4.03,7.5,Drama,116,,,ja,Shochiku,tt0044982,55197,お茶漬けの味,0.9525,98,1952-10-01,The arranged marriage between a capricious woman from Tokyo high society and a quiet and rustic man is tested by a marital crisis.,Japan,Released,,
