Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
1945,"Sanshiro Sugata, Part Two",Akira Kurosawa,"Action, Drama, Adventure",2.89,0.9043
1945,花婿太閤記,Santaro Marune,,None,0.4405
1945,Theater,Kenkichi Hara,"Drama, War, Music",None,0.4058
1945,A Tale of Archery at the Sanjusangendo,Mikio Naruse,"War, Drama, History",None,0.3963
1945,Umi o yobu koe,Masamitsu Igayama,,None,0.3793
1946,No Regrets for Our Youth,Akira Kurosawa,"Drama, War, History",3.58,0.864
1946,Lord for a Night,Teinosuke Kinugasa,Drama,None,0.607
1946,Utamaro and His Five Women,Kenji Mizoguchi,Drama,3.71,0.5167
1946,Hinoki Butai,Shirō Toyoda,Drama,None,0.4694
1946,Those Who Make Tomorrow,Hideo Sekigawa,Drama,3.22,0.4509
1947,Marriage,Keisuke Kinoshita,"Drama, Romance",None,0.5315
1947,Record of a Tenement Gentleman,Yasujirō Ozu,"Drama, Comedy",3.87,0.6584
1947,The Love of the Actress Sumako,Kenji Mizoguchi,Drama,3.5,0.5883
1947,Snow Trail,Senkichi Taniguchi,"Drama, Crime",3.65,0.7981
1947,One Wonderful Sunday,Akira Kurosawa,"Drama, Romance",3.78,0.7971
1948,G-Men of Japan,Sadatsugu Matsuda,"Crime, Drama",None,3.3798
1948,Drunken Angel,Akira Kurosawa,Drama,3.9,1.569
1948,Children of the Beehive,Hiroshi Shimizu,Drama,4.08,0.7717
1948,A Hen in the Wind,Yasujirō Ozu,Drama,3.77,0.5722
1948,Women of the Night,Kenji Mizoguchi,Drama,None,0.5483
1949,Late Spring,Yasujirō Ozu,Drama,4.34,1.6394
1949,Stray Dog,Akira Kurosawa,"Crime, Drama, Thriller",4.02,1.5047
1949,The Quiet Duel,Akira Kurosawa,Drama,3.61,0.6164
1949,Broken Drum,Keisuke Kinoshita,"Comedy, Drama",None,0.4537
1949,Ghost Cat of Nabeshima,Kunio Watanabe,"Mystery, Horror",None,0.3771
1950,Till We Meet Again,Tadashi Imai,"Romance, War, Drama",3.57,0.6934
1950,Scandal,Akira Kurosawa,Drama,3.52,0.7226
1950,G-men of Japan 2: Bloody Duel at Shipwreck Cape,Sadatsugu Matsuda,"Drama, Action, Crime",None,3.679
1950,Rashomon,Akira Kurosawa,"Crime, Drama, Mystery",4.21,3.1062
1950,The Munekata Sisters,Yasujirō Ozu,Drama,3.78,0.889
1951,Early Summer,Yasujirō Ozu,Drama,4.21,1.2508
1951,The Idiot,Akira Kurosawa,"Drama, Romance",3.59,0.7093
1951,Repast,Mikio Naruse,Drama,3.88,0.624
1951,Carmen Comes Home,Keisuke Kinoshita,"Comedy, Music",3.38,0.5098
1951,The Inner Palace Conspiracy,Daisuke Itō,"Adventure, History, Mystery",None,0.4678
1952,The Life of Oharu,Kenji Mizoguchi,Drama,4.2,0.91
1952,The Flavor of Green Tea Over Rice,Yasujirō Ozu,Drama,4.03,1.1526
1952,Mother,Mikio Naruse,Drama,3.86,0.6533
1952,Ikiru,Akira Kurosawa,Drama,4.51,4.4156
1952,The Men Who Tread on the Tiger's Tail,Akira Kurosawa,"Drama, History, Thriller, Adventure",3.33,1.1641
1953,Tokyo Story,Yasujirō Ozu,Drama,4.43,2.6174
1953,Love Letter,Kinuyo Tanaka,"Romance, Drama",4.13,2.031
1953,Ugetsu,Kenji Mizoguchi,"Fantasy, Drama, Mystery",4.26,1.4066
1953,A Geisha,Kenji Mizoguchi,Drama,3.93,0.8748
1953,Gate of Hell,Teinosuke Kinugasa,"Drama, History, Romance",3.67,0.8004
1954,Seven Samurai,Akira Kurosawa,"Action, Drama",4.6,9.8256
1954,Godzilla,Ishirō Honda,"Thriller, Horror, Science Fiction",4.06,3.4937
1954,Sansho the Bailiff,Kenji Mizoguchi,Drama,4.42,1.5859
1954,Chikamatsu Monogatari,Kenji Mizoguchi,"Drama, Romance",4.15,0.9672
1954,Samurai I: Musashi Miyamoto,Hiroshi Inagaki,"Drama, Action, Adventure",3.66,0.9342
1955,Brooba,Shigeyoshi Suzuki,"Action, Adventure",None,0.9622
1955,Floating Clouds,Mikio Naruse,"Drama, Romance",3.92,1.0535
1955,Godzilla Raids Again,Motoyoshi Oda,"Science Fiction, Horror, Action",2.67,2.2287
1955,The Birth of Frogs,吉田六郎,Documentary,None,1.694
1955,Twilight Saloon,Tomu Uchida,Drama,None,1.2303
1956,Rodan,Ishirō Honda,"Horror, Science Fiction",3.21,1.9916
1956,The Burmese Harp,Kon Ichikawa,"Drama, War",4.14,1.6143
1956,Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,"Action, Adventure, Drama, Romance, History",3.77,1.2259
1956,Warning from Space,Shima Kōji,"Science Fiction, Horror",2.97,1.1306
1956,Crazed Fruit,Kō Nakahira,"Romance, Drama",3.67,0.96
1957,An Osaka Story,Kōzaburō Yoshimura,"Comedy, Drama",None,1.1803
1957,Snow Country,Shirō Toyoda,"Drama, Romance",3.48,1.3216
1957,The Invisible Man vs. The Human Fly,Mitsuo Murayama,"Science Fiction, Crime, Horror",3.03,0.9148
1957,The Mysterians,Ishirō Honda,"Science Fiction, Action, Drama, Thriller, War",3.09,1.7257
1957,Throne of Blood,Akira Kurosawa,"Drama, History",4.27,1.7136
1958,The Hidden Fortress,Akira Kurosawa,"Drama, Action, Adventure",4.15,1.6616
1958,The H-Man,Ishirō Honda,"Science Fiction, Horror",3.04,1.0643
1958,Giants and Toys,Yasuzō Masumura,"Comedy, Drama",3.72,1.0477
1958,Equinox Flower,Yasujirō Ozu,"Comedy, Drama",4.04,0.8325
1958,The Snowy Heron,Teinosuke Kinugasa,Drama,None,2.183
1959,The Human Condition I: No Greater Love,Masaki Kobayashi,"War, Drama, History",4.57,2.842
1959,"Gaudi, Catalunya",Hiroshi Teshigahara,Documentary,None,1.8755
1959,Good Morning,Yasujirō Ozu,"Comedy, Family, Drama",4.2,1.7234
1959,The Human Condition II: Road to Eternity,Masaki Kobayashi,"War, Drama, History",4.48,1.5853
1959,Battle in Outer Space,Ishirō Honda,"Science Fiction, Action",2.92,1.1798
1960,Cruel Story of Youth,Nagisa Ōshima,"Romance, Drama, Crime",3.6,1.1419
1960,The Sun's Burial,Nagisa Ōshima,"Drama, Crime",3.56,1.0668
1960,Late Autumn,Yasujirō Ozu,"Drama, Comedy",4.12,1.1439
1960,Ayausgî G-Man - ânkoku gai no yagû,Masamitsu Igayama,"Crime, Drama",None,3.3562
1960,The Bad Sleep Well,Akira Kurosawa,"Crime, Drama, Thriller",4.11,1.7478
1961,Yojimbo,Akira Kurosawa,"Drama, Thriller",4.3,2.6868
1961,Mothra,Ishirō Honda,"Adventure, Science Fiction, Fantasy",3.51,1.4125
1961,The Human Condition III: A Soldier's Prayer,Masaki Kobayashi,"War, Drama, History",4.64,1.4104
1961,Satan's Sword III: The Final Chapter,Kazuo Mori,"Drama, Action",None,0.9162
1961,The End of Summer,Yasujirō Ozu,Drama,3.97,0.8846
1962,G-Men in the Pacific,Teruo Ishii,Crime,None,2.5223
1962,B.G. monogatari: Ekinyūmon,Sōkichi Tomimoto,,None,2.9068
1962,King Kong vs. Godzilla,Ishirō Honda,"Science Fiction, Comedy, Adventure, Fantasy, Action",3.06,2.0914
1962,Harakiri,Masaki Kobayashi,"Action, Drama, History",4.69,4.3407
1962,T-shi no gogo,Yoichi Takabayashi,,None,3.1135
1963,High and Low,Akira Kurosawa,"Drama, Crime",4.6,3.6627
1963,13 Assassins,Eiichi Kudō,"Adventure, Drama, Action",3.9,1.2355
1963,Atragon,Ishirō Honda,"Science Fiction, Action, Adventure, Fantasy",2.94,1.092
1963,Matango,Ishirō Honda,"Horror, Science Fiction, Thriller, Drama, Mystery, Fantasy",3.38,1.0874
1963,Detective Bureau 2-3: A Man Weak to Money and Women,Nozomu Yanase,"Crime, Action",None,0.838
1964,Ako,Hiroshi Teshigahara,Drama,3.66,1.8283
1964,Mothra vs. Godzilla,Ishirō Honda,"Drama, Action, Science Fiction",3.46,1.6558
1964,Woman in the Dunes,Hiroshi Teshigahara,"Drama, Thriller",4.47,1.6097
1964,Onibaba,Kaneto Shindō,Horror,4.08,1.5647
1964,"Ghidorah, the Three-Headed Monster",Ishirō Honda,"Science Fiction, Action, Fantasy, Thriller",3.39,1.534
1965,Story of a Prostitute,Seijun Suzuki,"Drama, Romance, War",3.78,1.3267
1965,Red Beard,Akira Kurosawa,Drama,4.41,1.4346
1965,Mysterious Medicine,Tadanari Okamoto,Animation,None,2.0691
